Model;Query;Result;Verification Time;Memory Usage;Discovered States;Explored States;Stored States;Query Property;Extra Tokens;Verification Method;Symmetry;Search Order;Approximation Method;Approximation Constant
Aarnet.tapn;Reach_P18;Satisfied;0.044 s;N/A;7;3;6;AG (!(deadlock) or Routings.P18 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Aarnet.tapn;Waypoint_P17_visited;Satisfied;0.027 s;N/A;7;3;6;AG (P17_visited.P17_visited >= 1 or Routings.P18 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Aarnet.tapn;LoopFree;Satisfied;0.024 s;N/A;7;3;6;AG P11_visited.P11_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Aarnet.tapn;All3;Satisfied;0.028 s;N/A;7;3;6;AG ((!(deadlock) or Routings.P18 >= 1) and (P17_visited.P17_visited >= 1 or Routings.P18 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Abilene.tapn;Reach_P10;Satisfied;0.036 s;N/A;8;3;7;AG (!(deadlock) or Routings.P10 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Abilene.tapn;Waypoint_P8_visited;Satisfied;0.033 s;N/A;8;3;7;AG (P8_visited.P8_visited >= 1 or Routings.P10 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Abilene.tapn;LoopFree;Satisfied;0.034 s;N/A;8;3;7;AG P3_visited.P3_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Abilene.tapn;All3;Satisfied;0.033 s;N/A;8;3;7;AG ((!(deadlock) or Routings.P10 >= 1) and (P8_visited.P8_visited >= 1 or Routings.P10 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Abvt.tapn;Reach_P14;Satisfied;0.035 s;N/A;6;3;5;AG (!(deadlock) or Routings.P14 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Abvt.tapn;Waypoint_P2_visited;Satisfied;0.027 s;N/A;6;3;5;AG (P2_visited.P2_visited >= 1 or Routings.P14 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Abvt.tapn;LoopFree;Satisfied;0.027 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Abvt.tapn;All3;Satisfied;0.027 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P14 >= 1) and (P2_visited.P2_visited >= 1 or Routings.P14 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Aconet.tapn;Reach_P21;Satisfied;0.028 s;N/A;6;3;5;AG (!(deadlock) or Routings.P21 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Aconet.tapn;Waypoint_P19_visited;Satisfied;0.025 s;N/A;6;3;5;AG (P19_visited.P19_visited >= 1 or Routings.P21 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Aconet.tapn;LoopFree;Satisfied;0.023 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Aconet.tapn;All3;Satisfied;0.027 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P21 >= 1) and (P19_visited.P19_visited >= 1 or Routings.P21 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Agis.tapn;Reach_P24;Satisfied;0.033 s;N/A;11;3;10;AG (!(deadlock) or Routings.P24 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Agis.tapn;Waypoint_P19_visited;Satisfied;0.033 s;N/A;11;3;10;AG (P19_visited.P19_visited >= 1 or Routings.P24 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Agis.tapn;LoopFree;Satisfied;0.029 s;N/A;11;3;10;AG P5_visited.P5_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Agis.tapn;All3;Satisfied;0.033 s;N/A;11;3;10;AG ((!(deadlock) or Routings.P24 >= 1) and (P19_visited.P19_visited >= 1 or Routings.P24 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Airtel.tapn;Reach_P15;Satisfied;0.034 s;N/A;6;3;5;AG (!(deadlock) or Routings.P15 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Airtel.tapn;Waypoint_P1_visited;Satisfied;0.029 s;N/A;6;3;5;AG (P1_visited.P1_visited >= 1 or Routings.P15 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Airtel.tapn;LoopFree;Satisfied;0.028 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Airtel.tapn;All3;Satisfied;0.027 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P15 >= 1) and (P1_visited.P1_visited >= 1 or Routings.P15 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Ans.tapn;Reach_P17;Satisfied;0.027 s;N/A;6;3;5;AG (!(deadlock) or Routings.P17 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Ans.tapn;Waypoint_P8_visited;Satisfied;0.024 s;N/A;6;3;5;AG (P8_visited.P8_visited >= 1 or Routings.P17 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Ans.tapn;LoopFree;Satisfied;0.023 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Ans.tapn;All3;Satisfied;0.029 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P17 >= 1) and (P8_visited.P8_visited >= 1 or Routings.P17 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arnes.tapn;Reach_P33;Satisfied;0.027 s;N/A;10;3;9;AG (!(deadlock) or Routings.P33 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arnes.tapn;Waypoint_P32_visited;Satisfied;0.03 s;N/A;10;3;9;AG (P32_visited.P32_visited >= 1 or Routings.P33 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arnes.tapn;LoopFree;Satisfied;0.03 s;N/A;10;3;9;AG P11_visited.P11_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arnes.tapn;All3;Satisfied;0.045 s;N/A;10;3;9;AG ((!(deadlock) or Routings.P33 >= 1) and (P32_visited.P32_visited >= 1 or Routings.P33 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arpanet19706.tapn;Reach_P8;Satisfied;0.034 s;N/A;6;3;5;AG (!(deadlock) or Routings.P8 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arpanet19706.tapn;Waypoint_P3_visited;Satisfied;0.027 s;N/A;6;3;5;AG (P3_visited.P3_visited >= 1 or Routings.P8 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arpanet19706.tapn;LoopFree;Satisfied;0.026 s;N/A;6;3;5;AG P1_visited.P1_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arpanet19706.tapn;All3;Satisfied;0.026 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P8 >= 1) and (P3_visited.P3_visited >= 1 or Routings.P8 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arpanet19719.tapn;Reach_P16;Satisfied;0.03 s;N/A;6;3;5;AG (!(deadlock) or Routings.P16 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arpanet19719.tapn;Waypoint_P10_visited;Satisfied;0.025 s;N/A;6;3;5;AG (P10_visited.P10_visited >= 1 or Routings.P16 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arpanet19719.tapn;LoopFree;Satisfied;0.022 s;N/A;6;3;5;AG P5_visited.P5_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Arpanet19719.tapn;All3;Satisfied;0.026 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P16 >= 1) and (P10_visited.P10_visited >= 1 or Routings.P16 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AsnetAm.tapn;Reach_P60;Satisfied;0.031 s;N/A;6;3;5;AG (!(deadlock) or Routings.P60 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
AsnetAm.tapn;Waypoint_P7_visited;Satisfied;0.027 s;N/A;6;3;5;AG (P7_visited.P7_visited >= 1 or Routings.P60 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
