Model;Query;Result;Verification Time;Memory Usage;Discovered States;Explored States;Stored States;Query Property;Extra Tokens;Verification Method;Symmetry;Search Order;Approximation Method;Approximation Constant
Disjoint_10.tapn;Reach_P9;Satisfied;0.002 s;N/A;13;3;12;AG (!(deadlock) or Routings.P9 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_10.tapn;Waypoint_P9_visited;Satisfied;0.005 s;N/A;13;3;12;AG (P9_visited.P9_visited >= 1 or Routings.P9 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_10.tapn;LoopFree;Satisfied;0.001 s;N/A;13;3;12;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_10.tapn;All3;Satisfied;0.002 s;N/A;13;3;12;AG ((!(deadlock) or Routings.P9 >= 1) and (P9_visited.P9_visited >= 1 or Routings.P9 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_20.tapn;Reach_P19;Satisfied;0.003 s;N/A;23;3;22;AG (!(deadlock) or Routings.P19 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_20.tapn;Waypoint_P19_visited;Satisfied;0.003 s;N/A;23;3;22;AG (P19_visited.P19_visited >= 1 or Routings.P19 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_20.tapn;LoopFree;Satisfied;0.003 s;N/A;23;3;22;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_20.tapn;All3;Satisfied;0.003 s;N/A;23;3;22;AG ((!(deadlock) or Routings.P19 >= 1) and (P19_visited.P19_visited >= 1 or Routings.P19 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_30.tapn;Reach_P29;Satisfied;0.003 s;N/A;33;3;32;AG (!(deadlock) or Routings.P29 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_30.tapn;Waypoint_P29_visited;Satisfied;0.003 s;N/A;33;3;32;AG (P29_visited.P29_visited >= 1 or Routings.P29 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_30.tapn;LoopFree;Satisfied;0.003 s;N/A;33;3;32;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_30.tapn;All3;Satisfied;0.015 s;N/A;33;3;32;AG ((!(deadlock) or Routings.P29 >= 1) and (P29_visited.P29_visited >= 1 or Routings.P29 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_40.tapn;Reach_P39;Satisfied;0.003 s;N/A;43;3;42;AG (!(deadlock) or Routings.P39 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_40.tapn;Waypoint_P39_visited;Satisfied;0.004 s;N/A;43;3;42;AG (P39_visited.P39_visited >= 1 or Routings.P39 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Disjoint_40.tapn;LoopFree;Satisfied;0.005 s;N/A;43;3;42;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
