Model;Query;Result;Verification Time;Memory Usage;Discovered States;Explored States;Stored States;Query Property;Extra Tokens;Verification Method;Symmetry;Search Order;Approximation Method;Approximation Constant
Shared_100.tapn;Reach_P99;Satisfied;0.008 s;N/A;103;3;102;AG (!(deadlock) or Routings.P99 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_100.tapn;Waypoint_P99_visited;Satisfied;0.008 s;N/A;103;3;102;AG (P99_visited.P99_visited >= 1 or Routings.P99 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_100.tapn;LoopFree;Satisfied;0.007 s;N/A;103;3;102;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_100.tapn;All3;Satisfied;0.009 s;N/A;103;3;102;AG ((!(deadlock) or Routings.P99 >= 1) and (P99_visited.P99_visited >= 1 or Routings.P99 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_200.tapn;Reach_P198;Satisfied;0.028 s;4 MB;202;3;201;AG (!(deadlock) or Routings.P198 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_200.tapn;Waypoint_P198_visited;Satisfied;0.019 s;N/A;202;3;201;AG (P198_visited.P198_visited >= 1 or Routings.P198 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_200.tapn;LoopFree;Satisfied;0.02 s;N/A;202;3;201;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_200.tapn;All3;Satisfied;0.02 s;N/A;202;3;201;AG ((!(deadlock) or Routings.P198 >= 1) and (P198_visited.P198_visited >= 1 or Routings.P198 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_300.tapn;Reach_P297;Satisfied;0.043 s;N/A;301;3;300;AG (!(deadlock) or Routings.P297 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_300.tapn;Waypoint_P297_visited;Satisfied;0.051 s;N/A;301;3;300;AG (P297_visited.P297_visited >= 1 or Routings.P297 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_300.tapn;LoopFree;Satisfied;0.04 s;N/A;301;3;300;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_300.tapn;All3;Satisfied;0.044 s;N/A;301;3;300;AG ((!(deadlock) or Routings.P297 >= 1) and (P297_visited.P297_visited >= 1 or Routings.P297 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_400.tapn;Reach_P399;Satisfied;0.078 s;N/A;403;3;402;AG (!(deadlock) or Routings.P399 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_400.tapn;Waypoint_P399_visited;Satisfied;0.071 s;N/A;403;3;402;AG (P399_visited.P399_visited >= 1 or Routings.P399 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_400.tapn;LoopFree;Satisfied;0.085 s;N/A;403;3;402;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_400.tapn;All3;Satisfied;0.088 s;N/A;403;3;402;AG ((!(deadlock) or Routings.P399 >= 1) and (P399_visited.P399_visited >= 1 or Routings.P399 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_500.tapn;Reach_P498;Satisfied;0.122 s;N/A;502;3;501;AG (!(deadlock) or Routings.P498 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_500.tapn;Waypoint_P498_visited;Satisfied;0.115 s;N/A;502;3;501;AG (P498_visited.P498_visited >= 1 or Routings.P498 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_500.tapn;LoopFree;Satisfied;0.111 s;N/A;502;3;501;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_500.tapn;All3;Satisfied;0.144 s;N/A;502;3;501;AG ((!(deadlock) or Routings.P498 >= 1) and (P498_visited.P498_visited >= 1 or Routings.P498 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_600.tapn;Reach_P597;Satisfied;0.177 s;7 MB;601;3;600;AG (!(deadlock) or Routings.P597 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_600.tapn;Waypoint_P597_visited;Satisfied;0.168 s;9 MB;601;3;600;AG (P597_visited.P597_visited >= 1 or Routings.P597 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_600.tapn;LoopFree;Satisfied;0.163 s;7 MB;601;3;600;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_600.tapn;All3;Satisfied;0.178 s;7 MB;601;3;600;AG ((!(deadlock) or Routings.P597 >= 1) and (P597_visited.P597_visited >= 1 or Routings.P597 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_700.tapn;Reach_P699;Satisfied;0.246 s;N/A;703;3;702;AG (!(deadlock) or Routings.P699 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_700.tapn;Waypoint_P699_visited;Satisfied;0.221 s;N/A;703;3;702;AG (P699_visited.P699_visited >= 1 or Routings.P699 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_700.tapn;LoopFree;Satisfied;0.22 s;N/A;703;3;702;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_700.tapn;All3;Satisfied;0.243 s;N/A;703;3;702;AG ((!(deadlock) or Routings.P699 >= 1) and (P699_visited.P699_visited >= 1 or Routings.P699 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_800.tapn;Reach_P798;Satisfied;0.317 s;10 MB;802;3;801;AG (!(deadlock) or Routings.P798 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_800.tapn;Waypoint_P798_visited;Satisfied;0.294 s;11 MB;802;3;801;AG (P798_visited.P798_visited >= 1 or Routings.P798 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_800.tapn;LoopFree;Satisfied;0.29 s;8 MB;802;3;801;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_800.tapn;All3;Satisfied;0.32 s;8 MB;802;3;801;AG ((!(deadlock) or Routings.P798 >= 1) and (P798_visited.P798_visited >= 1 or Routings.P798 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_900.tapn;Reach_P897;Satisfied;0.414 s;13 MB;901;3;900;AG (!(deadlock) or Routings.P897 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_900.tapn;Waypoint_P897_visited;Satisfied;0.371 s;13 MB;901;3;900;AG (P897_visited.P897_visited >= 1 or Routings.P897 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_900.tapn;LoopFree;Satisfied;0.367 s;N/A;901;3;900;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_900.tapn;All3;Satisfied;0.403 s;N/A;901;3;900;AG ((!(deadlock) or Routings.P897 >= 1) and (P897_visited.P897_visited >= 1 or Routings.P897 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_1000.tapn;Reach_P999;Satisfied;0.501 s;14 MB;1003;3;1002;AG (!(deadlock) or Routings.P999 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_1000.tapn;Waypoint_P999_visited;Satisfied;0.458 s;14 MB;1003;3;1002;AG (P999_visited.P999_visited >= 1 or Routings.P999 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_1000.tapn;LoopFree;Satisfied;0.455 s;N/A;1003;3;1002;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_1000.tapn;All3;Satisfied;0.505 s;N/A;1003;3;1002;AG ((!(deadlock) or Routings.P999 >= 1) and (P999_visited.P999_visited >= 1 or Routings.P999 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
