Net,Node count
Abvt,7
Agis,12
Airtel,5
Ans,9
Arnes,8
Arpanet19706,11
Arpanet19719,9
AsnetAm,9
AttMpls,8
Bbnplanet,9
Bellcanada,8
Bellsouth,7
Belnet2003,6
Belnet2004,6
Belnet2005,6
Belnet2006,6
Belnet2009,10
BeyondTheNetwork,6
Bics,14
BsonetEurope,10
BtEurope,6
BtLatinAmerica,5
BtNorthAmerica,11
Canerie,11
Cernet,11
Cesnet2001,6
Cesnet200511,7
Cesnet200603,7
Cesnet200706,7
Cesnet201006,5
Chinanet,6
Cogentco,11
Colt,7
Compuserve,6
CrlNetworkServices,20
Cudi,7
Cwix,9
Deltacom,7
DeutscheTelekom,9
Dfn,9
DialtelecomCz,8
Digex,13
Easynet,11
Eenet,5
EliBackbone,14
Ernet,8
Esnet,5
Evolink,7
Fatman,8
Fccn,5
Forthnet,7
Funet,10
Garr199901,7
Garr199904,7
Garr199905,7
Garr200109,5
Garr200112,7
Garr200212,7
Garr200404,7
Garr200902,8
Garr200908,8
Garr200909,8
Garr200912,8
Garr201001,8
Garr201003,8
Garr201004,8
Garr201005,8
Garr201007,8
Garr201008,8
Garr201010,8
Garr201012,8
Garr201101,8
Garr201102,8
Garr201103,8
Garr201104,8
Garr201105,8
Garr201107,8
Garr201108,8
Garr201109,8
Garr201110,8
Garr201111,8
Garr201112,8
Garr201201,8
Geant2001,8
Geant2009,11
Geant2010,9
Geant2012,9
Getnet,7
Globenet,15
Goodnet,6
Gridnet,7
Grnet,11
GtsRomania,7
GtsSlovakia,8
Harnet,10
HiberniaCanada,10
HiberniaNireland,6
HiberniaUs,10
Highwinds,8
HurricaneElectric,7
Iij,7
Iinet,6
Integra,11
Intellifiber,9
Internetmci,9
Internode,6
Intranetwork,11
IowaStatewideFiberMap,9
Janetbackbone,7
Karen,10
Kdl,5
KentmanApr2007,8
KentmanAug2005,7
KentmanFeb2008,8
KentmanJan2011,9
Latnet,6
Layer42,5
Marnet,5
Missouri,6
Myren,5
Napnet,5
Navigata,6
NetworkUsa,11
Niif,5
Noel,9
Nordu2005,5
Nordu2010,5
Nsfcnet,6
Ntt,8
Oteglobe,9
Oxford,8
Pacificwave,7
Palmetto,12
Peer1,13
Pern,8
PionierL1,18
PionierL3,7
Quest,8
RedBestel,5
Rediris,6
Renater2001,6
Renater2004,9
Renater2006,15
Renater2008,15
Renater2010,12
Restena,6
Roedunet,7
Surfnet,8
Switch,7
SwitchL3,7
TataNld,6
Tinet,10
TLex,5
Tw,12
Twaren,6
Ulaknet,5
Uninet,7
Uninett2010,14
Uninett2011,11
Uran,8
UsCarrier,15
Uunet,11
Vinaren,5
WideJpn,7
Xspedius,6
